다중지점통계
[검색조건]
,분류 : 지상
,요소 : 바람일사, 일조
,검색구분 : 월
,지점명 : 고산,서귀포,성산,성산,성산포,제주
,기간 : 1993 ~ 2018  01~12


선텍 전체 통계
일시,평균풍속(m/s),최대풍속(m/s)
 2011-04,6.6,16.5
 2011-05,5.6,14.4
 2011-06,4.7,19.3
 2011-07,5.5,11.7
 2011-08,4.8,28.0
 2011-09,5.5,15.8
 2011-10,6.2,19.6
 2011-11,6.2,20.1
 2011-12,8.8,21.1
 2012-01,8.5,19.3
 2012-02,8.4,21.5
 2012-03,7.8,19.5
 2012-04,6.9,24.3
 2012-05,4.1,12.4
 2012-06,3.8,11.6
 2012-07,4.4,17.7
 2012-08,5.7,29.9
 2012-09,5.2,29.3
 2012-10,6.4,17.8
 2012-11,8.1,19.6
 2012-12,9.2,21.8
 2013-01,8.3,18.2
 2013-02,8.3,19.2
 2013-03,7.7,22.6
 2013-04,7.5,24.2
 2013-05,5.0,15.1
 2013-06,3.3,14.6
 2013-07,6.0,13.0
 2013-08,4.8,16.0
 2013-09,4.7,13.8
 2013-10,6.2,22.4
 2013-11,9.2,25.3
 2013-12,10.0,24.6
 2014-01,8.2,22.3
 2014-02,6.6,20.5
 2014-03,8.0,24.2
 2014-04,5.9,22.7
 2014-05,5.2,16.4
 2014-06,4.1,21.7
 2014-07,5.1,18.7
 2014-08,5.3,19.1
 2014-09,4.6,21.9
 2014-10,5.8,18.2
 2014-11,6.9,23.0
 2014-12,11.1,26.8
 2015-01,9.6,27.3
 2015-02,8.9,21.5
 2015-03,6.7,25.4
 2015-04,5.7,16.3
 2015-05,5.3,19.3
 2015-06,4.2,16.1
 2015-07,4.8,17.1
 2015-08,4.4,15.5
 2015-09,4.6,13.7
 2015-10,6.0,23.7
 2015-11,6.4,22.5
 2015-12,8.1,25.2
 2016-01,9.3,26.9
 2016-02,9.7,22.3
 2016-03,6.0,16.8
 2016-04,5.6,28.0
 2016-05,5.3,20.3
 2016-06,4.5,13.8
 2016-07,5.1,14.3
 2016-08,4.4,19.8
 2016-09,4.2,13.7
 2016-10,5.7,49.0
 2016-11,7.0,20.8
 2016-12,8.7,23.1
 2017-01,8.9,27.2
 2017-02,10.0,23.4
 2017-03,7.2,22.9
 2017-04,5.9,17.0
 2017-05,4.8,15.7
 2017-06,3.9,12.8
 2017-07,4.6,13.4
 2017-08,5.3,19.7
 2017-09,5.3,16.7
 2017-10,6.2,21.8
 2017-11,6.9,19.1
 2017-12,9.1,25.3
 2018-01,9.2,24.9
 2018-02,8.6,25.2
 2018-03,6.0,20.2
 2018-04,6.5,24.5
 2018-05,3.4,21.3
 2018-06,4.1,17.2
 2018-07,4.9,14.8
 2018-08,6.0,28.1
 2018-09,5.1,18.9
 2018-10,6.7,27.1
 2018-11,5.4,20.1
 2018-12,7.9,16.8
 평균,7.0,21.7




